2.2.	Improvements	1.0	358.122	0	0
Apart	from	1.0	382.73	0	0
24	The	0.99	424.722	0	0
16	Like	0.99	490.486	0	0
24	Pyramidal	0.99	578.133	0	0
31	Computations	0.99	632.955	0	0
HornSchunck	optical	1.0	34.0682	0	0
this	fill-in	1.0	316.852	0	0
20	if	0.98	380.785	0	0
3.	Validation	1.0	417.049	0	0
3.1.	LK	1.0	439.476	0	0
To	validate	1.0	464.594	0	0
20	LK	0.97	484.703	0	0
1	X;	0.94	501.08	0	0
2	X	0.98	512.022	0	0
EU;	V	1.0	536.705	0	0
$$$	X;Y2w	0.65	548.284	0	0
I	x	0.86	534.544	0	0
The	minimization	1.0	562.219	0	0
3.2.	Spinning	1.0	628.263	0	0
To	compare	1.0	652.871	0	0
32	A	0.99	672.924	0	0
according	to	1.0	316.85	0	0
X	14	0.91	319.087	0	0
I	14	0.91	320.492	0	0
V	14	0.99	319.938	0	0
t	14	0.88	451.984	0	0
t	;	0.88	451.984	0	0
t	;	0.88	451.984	0	0
EE	14	0.9	469.47	0	0
To	further	1.0	487.725	0	0
t	.	0.82	677.622	0	0
AE	14	1.0	703.498	0	0
t	VV	0.82	700.98	0	0
t	1	0.91	700.98	0	0
2	V	0.82	712.432	0	0
2	1	0.93	712.432	0	0
2	t	0.76	712.432	0	0
2	t	0.82	712.432	0	0
$$$	0	1.0	680.925	0	0
B	@	1.0	696.628	0	0
$$$	1	1.0	680.924	0	0
C	A	1.0	696.627	0	0
Fig.	1	0.94	276.451	1	FIGURE
1308	X.	1.0	34.1249	0	0
It	is	1.0	445.035	0	0
3.3.	Translating	1.0	675.486	0	0
The	second	1.0	700.094	0	0
towards	the	1.0	445.031	0	0
20	,	0.99	476.086	0	0
Fig.	2	0.94	235.008	1	FIGURE
Fig.	3	0.94	413.137	1	FIGURE
HornSchunck	optical	1.0	34.0682	0	0
then	went	1.0	476.783	0	0
$$$	20	0.66	562.599	0	0
4.	Experimental	1.0	587.923	0	0
Wind	tunnel	1.0	612.506	0	0
33	The	0.99	643.5	0	0
axes	was	1.0	476.781	0	0
10	However,	0.99	485.894	0	0
10	A	0.99	540.716	0	0
1	was	0.99	588.605	0	0
$$$	20	0.66	639.361	0	0
5.	Experimental	1.0	664.628	0	0
5.1.	Optical	1.0	687.055	0	0
Because	the	1.0	710.812	0	0
Fig.	4	0.94	237.616	1	FIGURE
Fig.	5	0.94	450.555	1	FIGURE
1310	X.	1.0	34.1249	0	0
than	6	1.0	602.755	0	0
20	A	0.99	666.631	0	0
field	estimating	1.0	255.111	0	0
20	Two	1.0	308.048	0	0
1	2	0.94	692.759	0	0
1	2	0.82	692.759	0	0
[A4.47,	1.51]	1.0	700.323	0	0
2	2	0.95	715.153	0	0
2	2	0.93	715.153	0	0
Fig.	6	0.94	204.904	1	FIGURE
Fig.	7	0.94	371.638	1	FIGURE
Fig.	8	0.94	573.692	1	FIGURE
HornSchunck	optical	1.0	34.0682	0	0
5.2.	Airfoil	1.0	492.541	0	0
After	camera	1.0	514.314	0	0
34	rather	0.99	556.306	0	0
34	we	0.99	654.952	0	0
(see	Fig.	1.0	491.805	0	0
20	(see	0.99	632.445	0	0
20	Smaller	0.98	698.209	0	0
x	x	0	0	0	0
Fig.	9	0.94	451.462	1	FIGURE
1	=	0.92	453.247	0	0
1	=	0.86	453.247	0	0
1312	X.	1.0	34.1249	0	0
provided	the	1.0	458.755	0	0
20	The	0.99	621.333	0	0
around	0.38c	1.0	458.752	0	0
Fig.	10	0.92	412.684	1	FIGURE
HornSchunck	optical	1.0	34.0682	0	0
value.	A	1.0	277.337	0	0
6.	Conclusions	1.0	322.713	0	0
(1)	An	1.0	346.503	0	0
Therefore,	it	1.0	711.262	0	0
optical	flow	1.0	277.333	0	0
$$$	References	1.0	323.673	0	0
x	x	0	0	0	0
1.	Brooks	0.89	345.004	0	0
Fig.	11	0.94	248.274	1	FIGURE
1314	X.	1.0	34.1249	0	0
x	x	0	0	0	0
12.	Schmidt	0.89	54.9631	0	0
27.	Xiao	0.89	54.962	0	0
Gong	Xiaoliang	0.89	334.56	0	0
Stephan	Bansmer	0.89	404.067	0	0
HornSchunck	optical	1.0	34.0682	0	0
